,product,value,customer
1090,"['31047450', '31047464']","[73.77258451199832, 52.34917005095697]",402245
1091,"['31047450', '31047464', '32078970']","[73.77258451199832, 52.34917005095697, 22.946484874586204]",605432
1092,"['31618321', '31618475', '32988382', '31618405', '34129942']","[945.1447404429092, 272.0252261069808, 253.01601183589494, 118.35782439901915, 18.210682594912296]",745036
1093,"['31618321', '31618475', '32988382', '31618405', '34129942']","[945.1447404429092, 272.0252261069808, 253.01601183589494, 118.35782439901915, 18.210682594912296]",417057
1094,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",631651
1095,"['36298220', '36298206', '36298381']","[876.9585324254264, 689.2502796946033, 136.19829275876663]",337604
1096,"['31047464', '31047450']","[52.34917005095697, 36.52506843159224]",689562
1097,"['32078802', '32078795', '32842551', '32078970', '32079082', '32078935']","[1076.2166746635708, 453.14981443563715, 399.58008649397294, 105.54651171459584, 81.51421243336533, 3.8743391493146437]",606992
1098,"['31618321', '31618475', '34129942', '31618405', '32988382']","[945.1447404429092, 737.4983489619906, 148.9027885253545, 118.35782439901915, 88.98763597402909]",809411
1099,"['36298395', '36298220', '36298206', '36298381', '32078970']","[1234.2502222916794, 876.9585324254264, 689.2502796946033, 136.19829275876663, 22.946484874586204]",721780
1100,"['31618321', '31618475', '32988382', '31618405', '34129942']","[945.1447404429092, 272.0252261069808, 253.01601183589494, 118.35782439901915, 18.210682594912296]",440299
1101,['32988382'],[88.98763597402909],124306
1102,"['31618321', '31618475', '32988382', '34129942', '31618405']","[945.1447404429092, 737.4983489619906, 498.5654932260181, 148.9027885253545, 118.35782439901915]",642441
1103,"['36298416', '36298395', '36298381', '36298122', '32988382']","[2275.933141867629, 1234.2502222916794, 678.9605673147175, 159.24688011896038, 88.98763597402909]",736892
1104,"['32078802', '32078795', '32842551', '32078970', '32078935']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 69.07445737837183]",48340
1105,"['32078802', '32078795', '32842551', '32078970', '32078935']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 69.07445737837183]",697015
1106,"['31618321', '31618475', '32988382', '34129942', '31618405']","[945.1447404429092, 737.4983489619906, 498.5654932260181, 148.9027885253545, 118.35782439901915]",654602
1107,"['31047450', '31047464']","[73.77258451199832, 52.34917005095697]",351970
1108,"['32078802', '32078795', '32842551', '32079082', '32078970', '32078935']","[1076.2166746635708, 453.14981443563715, 399.58008649397294, 81.51421243336533, 22.946484874586204, 3.8743391493146437]",660519
1109,"['32078802', '32078970', '32078795', '32842551']","[1426.2324657128029, 829.881066034175, 256.8448607981492, 254.71926128307788]",400041
1110,"['36298220', '36298206', '36298381']","[876.9585324254264, 689.2502796946033, 136.19829275876663]",621017
1111,"['36298416', '36298395', '36298220', '36298206', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 876.9585324254264, 689.2502796946033, 678.9605673147175, 159.24688011896038]",47665
1112,['32078970'],[22.946484874586204],343180
1113,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",220665
1114,"['31618321', '31618475', '32988382', '31618405', '34129942']","[945.1447404429092, 297.6178852695093, 253.0349200847682, 118.35782439901915, 18.210682594912296]",461278
1115,['32078795'],[24.68169239602989],355543
1116,"['31618321', '31618475', '32988382', '34129942', '31618405']","[945.1447404429092, 737.4983489619906, 498.5654932260181, 148.9027885253545, 118.35782439901915]",188548
1117,"['32078802', '32078970', '32078795', '32842551', '32988382']","[1426.2324657128029, 829.881066034175, 256.8448607981492, 254.71926128307788, 88.98763597402909]",650584
1118,['32078795'],[24.68169239602989],325051
1119,"['32078802', '32842551', '32078970', '32079082', '32078795', '32078935']","[1076.2166746635708, 399.58008649397294, 105.54651171459584, 81.51421243336533, 24.68169239602989, 3.8743391493146437]",58260
1120,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",93969
1121,"['36298416', '36298395', '36298220', '36298206', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 876.9585324254264, 689.2502796946033, 678.9605673147175, 159.24688011896038]",30380
1122,"['32078802', '32842551', '32078970', '32078935', '32078795']","[1081.368219757816, 336.74698368175575, 285.8383722766826, 69.07445737837183, 24.68169239602989]",266971
1123,"['36298416', '36298395', '36298220', '36298206', '36298122', '36298381']","[2275.933141867629, 1234.2502222916794, 876.9585324254264, 689.2502796946033, 159.24688011896038, 136.19829275876663]",436200
1124,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",867843
1125,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",789738
