,product,value,customer
82,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",301662
83,"['32078795', '32078970', '32842551', '32078935']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 46.630957100973724]",132392
84,"['32078795', '32078970', '32842551', '32078935']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 46.630957100973724]",318869
85,"['31047450', '31047464']","[50.04485816878652, 40.49780994595678]",601765
86,['36298381'],[283.57762730470984],497827
87,"['36298381', '35609273', '35609252', '32078970']","[283.57762730470984, 85.28509666770042, 34.788990684693694, 19.940030652670576]",46563
88,"['31618321', '32078795', '32078970', '32842551', '32988382', '31618475', '32078935', '31618405', '34129942']","[410.0400223199819, 215.5980103587207, 179.82504180651014, 179.63390130187565, 142.63741178984728, 98.74240426637577, 46.630957100973724, 33.91712771021427, 13.078840080548325]",365372
89,"['32078970', '36298381', '32078795', '32842551']","[528.9564844490574, 283.57762730470984, 117.72593926855643, 83.09635618345413]",412220
90,"['31047450', '31047464']","[50.04485816878652, 40.49780994595678]",570867
91,['36298381'],[283.57762730470984],336232
92,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",308098
93,"['35609273', '35609252']","[85.28509666770042, 34.788990684693694]",460334
94,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",195173
95,"['32078795', '32078970', '32842551', '32078935']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 46.630957100973724]",354849
96,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",728291
97,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",267561
98,"['32078795', '32078970', '32842551', '32988382', '31618475', '32078935', '34129942']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 132.63339987139267, 89.84182140016723, 46.630957100973724, 13.078840080548325]",797545
99,"['32842551', '32078970', '32078795', '32079082', '32078935']","[182.36516456806467, 62.622532437596284, 40.017786856513304, 11.309078758771438, 1.8983611955475592]",786011
100,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",577101
101,"['32078795', '32078970', '32842551', '32078935']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 46.630957100973724]",659558
102,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",642178
103,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",74323
104,['32078795'],[40.017786856513304],139487
105,"['31047450', '31047464']","[50.04485816878652, 40.49780994595678]",553748
106,"['32078970', '32842551', '32078935', '32078795']","[179.82504180651014, 179.63390130187565, 46.630957100973724, 40.017786856513304]",305033
107,"['32988382', '31618475', '34129942']","[142.63741178984728, 98.74240426637577, 13.078840080548325]",580326
108,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",27643
109,"['35609273', '35609252']","[85.28509666770042, 34.788990684693694]",456891
110,"['32078795', '32078970', '32842551', '32078935']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 46.630957100973724]",599614
111,"['31618321', '31618475', '32988382', '34129942', '31618405']","[410.0400223199819, 222.9675327068517, 209.9403676644521, 52.49113365886005, 33.91712771021427]",39836
112,"['36298381', '31047450', '31047464']","[283.57762730470984, 50.04485816878652, 40.49780994595678]",566462
113,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",550055
114,['36298381'],[283.57762730470984],94218
115,"['32078970', '31618321', '31618475', '32988382', '32078795', '32842551', '34129942', '31047450', '31047464', '31618405']","[528.9564844490574, 410.0400223199819, 222.9675327068517, 209.9403676644521, 117.72593926855643, 83.09635618345413, 52.49113365886005, 50.04485816878652, 40.49780994595678, 33.91712771021427]",62613
116,"['32842551', '32078970', '32078795', '32079082', '32078935']","[182.36516456806467, 62.622532437596284, 40.017786856513304, 11.309078758771438, 1.8983611955475592]",516798
117,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",656072
118,"['32078970', '32078795', '32842551', '32079082', '32078935']","[528.9564844490574, 117.72593926855643, 83.09635618345413, 11.309078758771438, 1.8983611955475592]",475953
119,"['31618321', '32988382', '31618475', '34129942', '32078795', '31618405']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 52.49113365886005, 40.017786856513304, 33.91712771021427]",601154
120,"['32078970', '32078795', '35609273', '32842551', '35609252']","[528.9564844490574, 117.72593926855643, 85.28509666770042, 83.09635618345413, 34.788990684693694]",112289
121,"['31618321', '32988382', '31618475', '31047450', '31047464', '31618405', '34129942']","[410.0400223199819, 142.63741178984728, 98.74240426637577, 50.04485816878652, 40.49780994595678, 33.91712771021427, 13.078840080548325]",419528
122,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",325682
123,"['35609273', '35609252']","[85.28509666770042, 34.788990684693694]",47313
124,"['32078795', '32078970', '32842551', '35609273', '32078935', '35609252']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 85.28509666770042, 46.630957100973724, 34.788990684693694]",839335
125,"['31618321', '31618475', '32988382', '34129942', '31618405']","[410.0400223199819, 222.9675327068517, 209.9403676644521, 52.49113365886005, 33.91712771021427]",877442
126,"['32078795', '32078970', '32842551', '32078935']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 46.630957100973724]",738861
127,"['36298381', '32078795', '32078970', '32842551', '35609273', '32078935', '35609252']","[283.57762730470984, 215.5980103587207, 179.82504180651014, 179.63390130187565, 85.28509666770042, 46.630957100973724, 34.788990684693694]",653979
128,"['31618321', '36298381', '31618475', '32988382', '35609273', '34129942', '35609252', '31618405']","[410.0400223199819, 283.57762730470984, 222.9675327068517, 209.9403676644521, 85.28509666770042, 52.49113365886005, 34.788990684693694, 33.91712771021427]",621134
129,['32078795'],[40.017786856513304],421013
130,['36298381'],[283.57762730470984],291562
131,"['32988382', '31618475', '34129942']","[142.63741178984728, 98.74240426637577, 13.078840080548325]",408100
132,"['32078795', '32078970', '32842551', '32078935']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 46.630957100973724]",446280
133,"['32842551', '32078795', '32078970', '32079082', '32078935']","[182.36516456806467, 40.017786856513304, 19.940030652670576, 11.309078758771438, 1.8983611955475592]",604137
134,"['31618321', '31618475', '32078795', '32988382', '32078970', '32842551', '34129942', '32078935', '31618405']","[410.0400223199819, 222.9675327068517, 215.5980103587207, 209.9403676644521, 179.82504180651014, 179.63390130187565, 52.49113365886005, 46.630957100973724, 33.91712771021427]",128404
135,['32078795'],[40.017786856513304],414970
136,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",39703
137,"['32078970', '32078795', '32842551']","[528.9564844490574, 117.72593926855643, 83.09635618345413]",589435
138,"['32988382', '31618475']","[132.63339987139267, 89.84182140016723]",142627
139,"['31618321', '31618475', '32988382', '34129942', '31618405']","[410.0400223199819, 222.9675327068517, 209.9403676644521, 52.49113365886005, 33.91712771021427]",628988
140,"['32988382', '31618475', '35609273', '35609252', '34129942']","[132.63339987139267, 89.84182140016723, 85.28509666770042, 34.788990684693694, 13.078840080548325]",400354
141,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",27428
142,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",831898
143,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",593904
144,"['32078970', '31618321', '31618475', '32988382', '32078795', '32842551', '34129942', '31618405']","[528.9564844490574, 410.0400223199819, 222.9675327068517, 209.9403676644521, 117.72593926855643, 83.09635618345413, 52.49113365886005, 33.91712771021427]",203750
145,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",676096
146,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",295066
147,"['31047450', '31047464']","[50.04485816878652, 40.49780994595678]",417139
148,"['32988382', '31618475', '34129942']","[142.63741178984728, 98.74240426637577, 13.078840080548325]",629097
149,"['36298381', '32078795', '32842551', '32078935', '32078970']","[283.57762730470984, 215.5980103587207, 179.63390130187565, 46.630957100973724, 19.940030652670576]",2344
150,"['35609273', '35609252']","[85.28509666770042, 34.788990684693694]",487597
151,"['36298381', '32988382', '31618475']","[283.57762730470984, 132.63339987139267, 89.84182140016723]",398832
152,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",70749
153,"['32988382', '31618475', '34129942']","[142.63741178984728, 98.74240426637577, 13.078840080548325]",663543
154,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",687190
155,"['32078795', '32078970', '32842551', '31047450', '32078935', '31047464']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 50.04485816878652, 46.630957100973724, 40.49780994595678]",700997
156,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",158134
157,['36298381'],[283.57762730470984],365339
158,"['32842551', '32078970', '32078795', '32079082', '32078935']","[182.36516456806467, 62.622532437596284, 40.017786856513304, 11.309078758771438, 1.8983611955475592]",287145
159,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",712265
160,"['32842551', '32078970', '32078795', '32079082', '32078935']","[182.36516456806467, 62.622532437596284, 40.017786856513304, 11.309078758771438, 1.8983611955475592]",442101
161,['32078795'],[40.017786856513304],260177
162,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",219437
163,"['32078795', '32078970', '32842551', '31047450', '32078935', '31047464']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 50.04485816878652, 46.630957100973724, 40.49780994595678]",612498
164,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",537984
165,"['32078970', '32078795', '35609273', '32842551', '35609252']","[528.9564844490574, 117.72593926855643, 85.28509666770042, 83.09635618345413, 34.788990684693694]",72025
